name	stars	title	content
Mary R.	5	Best go to Daily Lipstick ever	From the moment I tried it, I knew it was the perfect shade of pink, and it is amazing as a lip moisturizer.   In summary--LOVE IT!
Mary S.	5	Reading is life	I BELEIEVE WHOM EVER CAME UP WITH THESE COLORS FOR MATURE WOMEN IS A GENIUS. BOOKS FOR AFRICA IS A HEARTFELT BONUS MARY
Linda M.	5	Rich, creamy color!	Purchased the Strong Women trio. Love the smooth, rich feel. I put it on in the morning and it lasted me through the afternoon. The colors in this trio are not too bright, which I really like. Love the packaging!
Madonna f.	5	GREAT lipsticks!	From the selection, to the ease in ordering, to receiving the product in a timely manner, to the quality, to the color, to the packaging, to the non-profits that benefit from the sale.....these are GREAT lipsticks!  I am 62 years young and very picky about lipsticks as my lips have a tendency to dry out and I cannot wear anything with a smell. These lipsticks are creamy, no smell and beautiful colors. I highly recommend them.  I will be purchasing more colors for myself and also to give my friends at Christmas! Thanks for making such a stand-up product!   Madonna Van Fossen Auburn Hills, MI
Pammela J.	5	Wow! Wonderful 👄!	Wow! I was so pleased to get this lip color! This is really a magnificent color! I love the way it glides on and how rich it feels. I was pleasantly surprised by how well it stays on and how my lips felt moisturized the entire time. I am sure it’s due to the quality products used to make their lipsticks. I am totally pleased! Plan to buy more and share my newfound love for this company!
Rachel w.	5	Because I Love My Lips...	I purchased the “Strong Woman” pack of lipsticks recently, and the first thing that comes to mind is LOVE!   Amazing lipsticks, so soft and creamy! I am 51 years young and an in between girl when it comes to matte/cream/sheer/gloss, there is definitely a place for all in my lifestyle, but I have to say that the finish on these lipsticks is almost perfect for any occasion.  One can’t truly explain the color because they will look different on everyone, that being said I believe that the images on their beautiful website are very close to the product color.  I can tell you that I tend to have dry skin/lips, so as the lipstick wears my lips don’t feel dry or chapped, and there is a nice color pigment left on my lips as well, which I love.   The biggest plus for me all around is taste/smell, no nasty taste!!! I don’t have lip lines, but it does also stay put and looks lovely!   I also purchased the “Mint to be” lip treatment- yep love that too!   Love that it’s for good causes and vegan. My only want is that maybe once in awhile we could create our own 3 pack! 🤗 *Wearing “Independent”
Kim K.	5	Amazing!!	The colors in the Five Wishes Bundle did not disappoint! This was the first time that I have bought this brand of lipsticks, and the colors are perfect!
Kerry D.	5	Very happy with my lip	Very happy with my lip products, thx again for looking after the environment
Lynn R.	5	Flawless for fair skin	Lavender pink.Quick swipe to wear barefaced!
Diane P.	5	I love the lipstick and	I love the lipstick and so does my husband. Very nice and creamy.
Barbara L.	5	Great color	Love the color, great summertime color.
Mary K.	5	Confident Color	I love my new Confident Lipstick! It's got a unique kind of goldish f glimmer to it! I love the color. And it's so creamy!
Vivian V.	5	Terrific Lipstick	I am a "mature" woman, age 65, and was initially drawn to the ad for these lipsticks by that title. I just love the colors and ordered two. This was my favorite color, plus I am a dog lover and active in animal charities. The lipstick arrived and it is so smooth and comfortable and long lasting. Plus the color is gorgeous. I wear lipstick all the time as I live in Florida and am outside a great deal. This protects my lips marvelously and looks beautiful too. Plus I love the case!
Kathy P.	5	Can't say enough good things about brand Color The World!!!	I have been on the search for the perfect lipstick for years, and after finding this company my search is over! I am 64 and it doesn't feather, has great lasting power and feels so hydrating on the lips. The colors are true to the pictures. Made in the USA and it helps others, wow I am impressed!!! Thank you!!!
Nancy R.	5	helping women look and feel good	long lasting beautiful rich color pink. feels good too.
Karla V.	5	Really seeing a difference in	Really seeing a difference in lip moisture using this lipstick daily.
Nita R.	5	Captivating Cashmere	Looks natural--but better!
Robin S.	5	Love at first use!	I was initially attracted to this lipstick because of the cute tubes( shallow, I know)😂! But once I used it I truly fell in love! It goes on so smooth. I have a scar that runs down my upper lip from a dog bite and this lipstick makes the scar almost invisible! The donations to different charities is a bonus.
Philisse B.	5	Excellent lipsticks	I hoped the lipsticks would be as promised but I was a little hesitant to purchase them. However, I have been so pleasantly surprised to find that the lipsticks do everything as promised. The colors are true, they go on so smoothly, they feel great, last a long time and do not feather into my senior lines around my lips. I will be ordering more - eventually I’d like to have all the colors. They are definitely worth the price. Thank you for creating them !!!
Michelle M.	5	Love this lipstick. Color is	Love this lipstick. Color is great and it stays on over time. Will purchase another color. Love the packaging, less plastic.
Joyce P.	5	Best Ever Lipstick	I'm 77 years and have finally found a lipstick that doesn't feather into the lines around my mouth. No matter the cost you won't find one that works better around your lips if you have that problem.
Jeanne N.	5	Moist and creamy for my	Moist and creamy for my aging lips.
Debra B.	5	This is my first order	This is my first order and I got the trio. I love all three colors but Independent is my absolute favorite because the color goes with anything I wear. I've gotten lots of compliments & it feels so light and smooth. I'll be ordering more of this one!
Jill T.	5	My Go-To Lip Company	All their lipsticks are creamy! Great selection of colors & the best part is the length of time your lips have color. It's not a color stain, just a nice wearing lipstick. It's about all I wear anymore!
Anita C.	5	Exceptional product	As a new customer I wasn't sure what to expect but your lipsticks have numerous color choices and feel good on the lips...not dry. You color descriptions are accurate and groupings are very helpful when ordering online. I will definitely be ordering more and I like the ability to chose my own bundles. I hope you will introduce a lipliner in the near future.
Mayra Z.	5	Creamy lipsticks	I like the way they glide on and moisturizes my lips and that part of my purchase goes to charity. I will try other colors
Carol B.	5	Great product	Initially I was interested because it supported so many good causes, but I was pleasantly surprised by the quality of this product. It is long lasting but does not dry out your lips. The colors are great in the Neutral bundle and I will be back to buy other collections. It makes a great gift for people who have "everything!"
Tina B.	5	Love the color and buttery	Love the color and buttery cream Texter when you put it on
Debra J.	5	Fantastic!	Loving these creamy luscious lip colors!
Constance J.	5	Just love the lipsticks.. beautiful	Just love the lipsticks.. beautiful colors and the texture on my lips feel clean leave then moisturized...feel beautiful when wearing my makeup with the lipstick ❤️
Janice G.	5	Absolutely the best lipstick!	This is the best lipstick I have bought. I am 69 years old and since I began wearing lipstick 55 years ago, I could not find one I liked. Flawless is not drying, stays for a very long time, doesn’t cause peeling, not greasy and looks pretty on my aging lips. It has added some needed moisture and doesn’t bleed. I’m so pleased I took another chance buying lipstick and didn’t need to add it to my collection of once-used. JMG
Karen D.	5	Very pretty color	I am blonde/blue with fair skin and this is a very pretty and natural color.
Julia C.	5	Great colors	So happy with all 3 colors. They all work great with my skin tone. So often I am disappointed since colors look over the top on my lips. Not the case here.
Caroline M.	5	Great colors best lipstick I	Great colors best lipstick I have ever bought for my 74 year old lips
Adina L.	5	"Mint To Be" Vegan Lip Gloss	This is one of the nicest Lip Glosses I ever bought. The mint smell is perfect and the texture is wonderful. Very creamy, goes on smoothly and moisturizer is very nice.
Jan L.	5	Soft colors	I tend to wear lip color that does not stand out since my makeup is minimal. These colors are very soft and suit my makeup scheme well. Do not expect bright from this trio, but understated muted color.
