word	usage
color	1318
love	1269
lipstick	1055
lips	629
colors	626
great	558
very	487
lipsticks	442
like	333
good	307
more	304
smooth	281
just	269
feel	262
creamy	252
beautiful	246
product	244
really	225
feels	216
nice	215
perfect	213
stays	212
long	210
lip	208
purchase	174
doesn	167
one	163
world	147
well	145
time	144
does	140
soft	140
pretty	134
again	134
wear	133
thank	133
shade	132
bleed	130
would	130
wonderful	128
look	128
definitely	125
what	122
other	121
out	120
happy	118
order	116
ordered	114
dry	111
lasting	108
texture	107
try	106
than	105
been	103
first	103
buy	99
looks	98
cause	98
red	97
smoothly	95
don	93
much	93
lasts	92
natural	92
bought	90
best	89
feather	88
makes	87
moisturizing	85
because	84
pink	83
lines	83
purchased	82
only	82
way	82
recommend	81
day	81
looking	80
skin	79
favorite	79
ordering	79
little	78
new	77
right	76
found	74
use	74
pleased	73
without	72
neutral	71
now	71
shades	71
put	71
light	70
another	70
packaging	70
causes	69
years	68
treatment	67
even	66
lovely	65
make	65
tube	64
feathering	63
stay	62
over	61
wearing	61
moist	61
every	60
any	60
company	59
used	58
some	58
around	58
products	58
different	58
many	58
get	57
everything	57
never	56
last	56
longer	55
amazing	55
tried	55
glad	54
better	54
ever	54
three	53
fact	51
received	51
bright	51
most	50
absolutely	49
going	49
buying	49
were	49
mint	49
after	49
loved	49
find	48
thanks	48
made	47
want	46
helps	46
brand	45
others	45
highly	45
bleeding	44
plus	44
feeling	44
bit	44
using	44
back	44
two	43
awesome	43
there	42
always	42
true	42
old	41
both	41
need	41
did	40
think	40
darker	39
give	39
bundle	39
quality	38
got	37
before	37
friends	37
such	37
drying	36
dark	36
work	36
price	36
especially	35
purchasing	35
fine	35
excellent	35
tone	35
keep	35
age	34
hours	34
still	34
women	34
taste	34
customer	34
finally	34
while	33
enough	33
help	33
subtle	33
advertised	33
actually	33
each	32
rich	31
power	31
vegan	31
fair	31
those	31
staying	31
rose	31
know	31
summer	30
second	30
older	30
didn	30
sure	30
night	30
far	30
moisture	29
soon	29
hair	29
complexion	29
off	29
something	29
tubes	29
wish	29
exactly	29
support	29
woman	29
empowered	28
apply	28
often	28
helping	28
works	28
gives	28
pack	28
see	27
keeps	27
could	27
its	27
warm	27
mouth	27
face	27
thought	27
makeup	26
year	26
easy	26
wanted	26
say	26
since	26
being	26
their	25
stick	25
worn	25
already	25
impressed	24
huntress	24
flawless	24
cute	24
greasy	23
same	23
looked	23
case	23
wait	23
glides	22
yet	22
our	22
lot	22
everyday	22
service	22
cool	22
trying	22
soothing	22
balm	22
stayed	21
worthy	21
making	21
ingredients	21
future	21
few	21
quite	21
smell	21
compliments	21
application	21
cashmere	21
southern	21
super	21
usually	21
who	21
daughter	20
fast	20
strong	20
silky	20
